model,test_start,test_end,users_in_window,total_n_test,total_n_train,accuracy_top1,f1_macro_top1,recall@1,recall@3,recall@5,mrr@1,mrr@3,mrr@5
baseline,2025-03-13 11:29:41.527005-03:00,2025-03-20 11:29:41.527005-03:00,1,697,8570,0.0,0.0,0.0,0.2152080344332855,0.28694404591104733,0.0,0.10210425633668102,0.11881874701099959
baseline,2025-03-13 11:43:42.906010-03:00,2025-03-20 11:43:42.906010-03:00,1,4086,26316,0.29515418502202645,0.013694982745613737,0.29515418502202645,0.48237885462555063,0.5939794419970631,0.29515418502202645,0.37538750203948035,0.39961657692935015
baseline,2025-03-13 13:54:27.589002-03:00,2025-03-20 13:54:27.589002-03:00,1,903,18925,0.09080841638981174,0.0031269460055442532,0.09080841638981174,0.16500553709856036,0.292358803986711,0.09080841638981174,0.12643041712809153,0.15594315245478013
baseline,2025-03-13 23:05:36.614007-03:00,2025-03-20 23:05:36.614007-03:00,1,29,149,0.10344827586206896,0.020833333333333332,0.10344827586206896,0.3103448275862069,0.4827586206896552,0.10344827586206896,0.1896551724137931,0.22931034482758622
baseline,2025-03-14 14:30:05.710000-03:00,2025-03-21 14:30:05.710000-03:00,1,562,3507,0.16903914590747332,0.006087207253388012,0.16903914590747332,0.3202846975088968,0.4199288256227758,0.16903914590747332,0.23813760379596685,0.26011269276393856
baseline,2025-03-14 14:50:13.611001-03:00,2025-03-21 14:50:13.611001-03:00,1,319,15632,0.08150470219435736,0.010908328088944829,0.08150470219435736,0.19435736677115986,0.670846394984326,0.08150470219435736,0.1347962382445141,0.24388714733542372
baseline,2025-03-14 22:34:49.777003-03:00,2025-03-21 22:34:49.777003-03:00,1,369,4428,0.04065040650406504,0.0011003521126760564,0.04065040650406504,0.08401084010840108,0.13279132791327913,0.04065040650406504,0.058717253839205064,0.06955736224028905
baseline,2025-03-15 08:47:57.581000-03:00,2025-03-22 08:47:57.581000-03:00,1,119,476,0.01680672268907563,0.015406162464985993,0.01680672268907563,0.025210084033613446,0.03361344537815126,0.01680672268907563,0.02100840336134454,0.023109243697478993
baseline,2025-03-15 10:28:20.800009-03:00,2025-03-22 10:28:20.800009-03:00,1,489,4728,0.18200408997955012,0.015559979145931085,0.18200408997955012,0.294478527607362,0.5541922290388548,0.18200408997955012,0.2365371506475801,0.29655760054533065
baseline,2025-03-17 14:14:43.247008-03:00,2025-03-24 14:14:43.247008-03:00,1,49,110,0.24489795918367346,0.08621166067974577,0.24489795918367346,0.3877551020408163,0.3877551020408163,0.24489795918367346,0.3163265306122449,0.3163265306122449
baseline,2025-03-17 16:21:46.497003-03:00,2025-03-24 16:21:46.497003-03:00,1,84,6076,0.03571428571428571,0.0014367816091954023,0.03571428571428571,0.14285714285714285,0.16666666666666666,0.03571428571428571,0.07936507936507936,0.08472222222222221
baseline,2025-03-18 19:11:24.650007-03:00,2025-03-25 19:11:24.650007-03:00,1,541,5859,0.0018484288354898336,6.738544474393532e-05,0.0018484288354898336,0.022181146025878003,0.19408502772643252,0.0018484288354898336,0.010166358595194082,0.05027726432532344
baseline,2025-03-20 07:19:11.962001-03:00,2025-03-27 07:19:11.962001-03:00,1,1181,22881,0.05927180355630821,0.0009745189820136118,0.05927180355630821,0.1143099068585944,0.1676545300592718,0.05927180355630821,0.08213378492802706,0.09445385266723111
baseline,2025-03-20 07:29:04.576003-03:00,2025-03-27 07:29:04.576003-03:00,1,1232,10495,0.032467532467532464,0.00026992738953221583,0.032467532467532464,0.07061688311688312,0.09821428571428571,0.032467532467532464,0.048701298701298724,0.05491071428571431
baseline,2025-03-20 09:14:25.081005-03:00,2025-03-27 09:14:25.081005-03:00,1,160,2514,0.0125,0.00030864197530864197,0.0125,0.0875,0.1625,0.0125,0.04270833333333333,0.05927083333333334
baseline,2025-03-20 11:29:41.527005-03:00,2025-03-27 11:29:41.527005-03:00,1,305,9267,0.09836065573770492,0.005676485725530562,0.09836065573770492,0.20655737704918034,0.35081967213114756,0.09836065573770492,0.1409836065573771,0.1744262295081968
baseline,2025-03-20 11:43:42.906010-03:00,2025-03-27 11:43:42.906010-03:00,1,3473,30402,0.08926000575871004,0.0028310360486703797,0.08926000575871004,0.19118917362510798,0.3167290526921969,0.08926000575871004,0.13091467511277424,0.15872924464919827
baseline,2025-03-20 12:00:34.919013-03:00,2025-03-27 12:00:34.919013-03:00,1,10,637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
